Time/BA(s)	RefinedPose	ConstPose	IgnoredPose	RefinedPts	ConstPts	IgnoredPts	RefinedK	ConstK	IgnoredK	ResidualBlocks	SuccessIter	BadIter	InitRMSE	FinalRMSE	dAR=-1	dAR=0	dAR=1	dAR=2	dAR=3	dAR=4	dAR=5	dAR=6	dAR=7	dAR=8	dAR=9	dAR=10+	New Views	
0.149684	3	0	0	1187	0	0	1	0	0	5064	18	0	0.87674	0.218368	0	0	0	0	0	0	0	0	0	0	0	0	1059548076	
0.123883	4	0	0	1822	0	0	1	0	0	8272	9	0	0.304311	0.238807	0	0	0	0	0	0	0	0	0	0	0	0	1261438133	
0.141414	5	0	0	2582	0	0	1	0	0	12428	7	0	0.315308	0.232061	0	0	0	0	0	0	0	0	0	0	0	0	983357929	
0.134187	6	0	0	2980	0	0	1	0	0	15106	6	0	0.323471	0.249095	0	0	0	0	0	0	0	0	0	0	0	0	265695382	
0.179772	7	0	0	3846	0	0	1	0	0	19974	6	0	0.326129	0.250574	0	0	0	0	0	0	0	0	0	0	0	0	704502137	
0.208132	8	0	0	4297	0	0	1	0	0	22948	6	0	0.310834	0.258323	0	0	0	0	0	0	0	0	0	0	0	0	1887534972	
0.244255	9	0	0	4824	0	0	1	0	0	26388	6	0	0.317636	0.272221	0	0	0	0	0	0	0	0	0	0	0	0	121147830	
0.262039	10	0	0	5187	0	0	1	0	0	29576	6	0	0.353937	0.286791	0	0	0	0	0	0	0	0	0	0	0	0	1081171077	
0.243403	11	0	0	5464	0	0	1	0	0	31526	5	0	0.323165	0.287504	0	0	0	0	0	0	0	0	0	0	0	0	485519614	
0.246596	12	0	0	5682	0	0	1	0	0	33040	5	0	0.319764	0.293779	0	0	0	0	0	0	0	0	0	0	0	0	2048594538	
0.261611	13	0	0	5932	0	0	1	0	0	34464	5	0	0.310633	0.292042	0	0	0	0	0	0	0	0	0	0	0	0	404557507	
0.227483	14	0	0	6129	0	0	1	0	0	35944	4	0	0.327818	0.294198	0	0	0	0	0	0	0	0	0	0	0	0	1481597607	
0.196179	15	0	0	6399	0	0	1	0	0	37618	3	0	0.318264	0.294465	0	0	0	0	0	0	0	0	0	0	0	0	705256877	
0.194074	16	0	0	6588	0	0	1	0	0	38788	3	0	0.317222	0.29808	0	0	0	0	0	0	0	0	0	0	0	0	1564394763	
0.260938	17	0	0	6876	0	0	1	0	0	40370	4	0	0.326012	0.304027	0	0	0	0	0	0	0	0	0	0	0	0	771224007	
0.328547	18	0	0	7016	0	0	1	0	0	41486	5	0	0.351949	0.317036	0	0	0	0	0	0	0	0	0	0	0	0	1593085527	
0.267596	19	0	0	7197	0	0	1	0	0	42688	4	0	0.347135	0.322779	0	0	0	0	0	0	0	0	0	0	0	0	798973218	
0.351703	20	0	0	7371	0	0	1	0	0	43638	5	0	0.330553	0.312151	0	0	0	0	0	0	0	0	0	0	0	0	405082748	
0.410157	21	0	0	7513	0	0	1	0	0	44390	6	0	0.369915	0.340286	0	0	0	0	0	0	0	0	0	0	0	0	2030751971	
0.298266	22	0	0	7577	0	0	1	0	0	44744	4	0	0.354433	0.337511	0	0	0	0	0	0	0	0	0	0	0	0	215382873	
0.366606	23	0	0	7702	0	0	1	0	0	45720	5	0	0.343534	0.325688	0	0	0	0	0	0	0	0	0	0	0	0	1216237916	
0.376024	24	0	0	7876	0	0	1	0	0	47064	5	0	0.341757	0.322469	0	0	0	0	0	0	0	0	0	0	0	0	222897565	
0.313645	25	0	0	8070	0	0	1	0	0	48558	4	0	0.341867	0.32108	0	0	0	0	0	0	0	0	0	0	0	0	1580303157	
0.259093	26	0	0	8184	0	0	1	0	0	49378	3	0	0.338815	0.32492	0	0	0	0	0	0	0	0	0	0	0	0	436115058	
0.261464	27	0	0	8456	0	0	1	0	0	50896	3	0	0.340449	0.326259	0	0	0	0	0	0	0	0	0	0	0	0	2076392030	
0.418347	28	0	0	8642	0	0	1	0	0	51748	5	0	0.359809	0.339005	0	0	0	0	0	0	0	0	0	0	0	0	577743018	
0.488464	29	0	0	8744	0	0	1	0	0	52310	6	0	0.384352	0.353168	0	0	0	0	0	0	0	0	0	0	0	0	1499966861	
0.434586	30	0	0	8942	0	0	1	0	0	53322	5	0	0.388957	0.362348	0	0	0	0	0	0	0	0	0	0	0	0	218127765	
0.56417	35	0	0	10148	0	0	1	0	0	59872	6	0	0.624143	0.461084	0	0	0	0	0	0	0	0	0	0	0	0	382546242	453803718	766245630	1718489166	1866976262	
0.555065	35	0	0	10090	0	0	1	0	0	59472	6	0	0.39875	0.389747	0	0	0	0	0	0	0	0	0	0	0	0	382546242	453803718	766245630	1718489166	1866976262	
0.625886	42	0	0	10979	0	0	1	0	0	66408	6	0	0.681242	0.540203	0	0	0	0	0	0	0	0	0	0	0	0	20630899	1494270653	1541257274	1795513753	1816125058	1861925312	2121696221	
0.5553	42	0	0	10911	0	0	1	0	0	65672	5	0	0.466378	0.452922	0	0	0	0	0	0	0	0	0	0	0	0	20630899	1494270653	1541257274	1795513753	1816125058	1861925312	2121696221	
0.546435	42	0	0	11035	0	0	1	0	0	66256	5	0	0.456043	0.446925	0	0	0	0	0	0	0	0	0	0	0	0	1474642507	
0.535865	43	0	0	11086	0	0	1	0	0	66572	5	0	0.447347	0.439862	0	0	0	0	0	0	0	0	0	0	0	0	896192825	
0.462182	44	0	0	11268	0	0	1	0	0	67442	4	0	0.458916	0.439694	0	0	0	0	0	0	0	0	0	0	0	0	1567680639	
0.547459	45	0	0	11373	0	0	1	0	0	68158	5	0	0.482513	0.453533	0	0	0	0	0	0	0	0	0	0	0	0	734492105	
0.374956	45	0	0	11362	0	0	1	0	0	68018	3	0	0.440345	0.437282	0	0	0	0	0	0	0	0	0	0	0	0	734492105	
0.373189	46	0	0	11397	0	0	1	0	0	68276	3	0	0.447347	0.440704	0	0	0	0	0	0	0	0	0	0	0	0	1444320462	
0.385308	47	0	0	11583	0	0	1	0	0	69304	3	0	0.459043	0.445142	0	0	0	0	0	0	0	0	0	0	0	0	1117478728	
0.380563	48	0	0	11652	0	0	1	0	0	69834	3	0	0.443649	0.437455	0	0	0	0	0	0	0	0	0	0	0	0	1259837869	
0.482345	49	0	0	11851	0	0	1	0	0	70806	4	0	0.440287	0.435239	0	0	0	0	0	0	0	0	0	0	0	0	1846734614	
0.598829	50	0	0	11968	0	0	1	0	0	71368	5	0	0.479003	0.453255	0	0	0	0	0	0	0	0	0	0	0	0	675634977	
0.501297	50	0	0	11950	0	0	1	0	0	71228	4	0	0.439234	0.436643	0	0	0	0	0	0	0	0	0	0	0	0	675634977	
0.589434	51	0	0	12038	0	0	1	0	0	71774	5	0	0.461361	0.448365	0	0	0	0	0	0	0	0	0	0	0	0	2096417223	
0.614505	52	0	0	12089	0	0	1	0	0	71944	5	0	0.466952	0.451785	0	0	0	0	0	0	0	0	0	0	0	0	1392468951	
0.599715	53	0	0	12087	0	0	1	0	0	72008	5	0	0.457007	0.447384	0	0	0	0	0	0	0	0	0	0	0	0	1387747476	
0.413089	54	0	0	12165	0	0	1	0	0	72394	3	0	0.452811	0.447385	0	0	0	0	0	0	0	0	0	0	0	0	965715659	
0.408153	55	0	0	12328	0	0	1	0	0	73184	3	0	0.462609	0.451525	0	0	0	0	0	0	0	0	0	0	0	0	2025875319	
0.513405	56	0	0	12410	0	0	1	0	0	73666	4	0	0.467258	0.453634	0	0	0	0	0	0	0	0	0	0	0	0	1101473849	
0.526814	57	0	0	12544	0	0	1	0	0	74336	4	0	0.459767	0.448111	0	0	0	0	0	0	0	0	0	0	0	0	1889038201	
0.423802	58	0	0	12648	0	0	1	0	0	74924	3	0	0.453317	0.446559	0	0	0	0	0	0	0	0	0	0	0	0	676757260	
0.539611	59	0	0	12698	0	0	1	0	0	75170	4	0	0.4615	0.451414	0	0	0	0	0	0	0	0	0	0	0	0	107064801	
0.520756	60	0	0	12751	0	0	1	0	0	75464	4	0	0.456561	0.448166	0	0	0	0	0	0	0	0	0	0	0	0	1159701109	
0.429644	61	0	0	12848	0	0	1	0	0	76018	3	0	0.451165	0.446692	0	0	0	0	0	0	0	0	0	0	0	0	461490285	
0.432771	62	0	0	12935	0	0	1	0	0	76432	3	0	0.454857	0.448017	0	0	0	0	0	0	0	0	0	0	0	0	1202276389	
0.42762	63	0	0	12981	0	0	1	0	0	76648	3	0	0.450032	0.446223	0	0	0	0	0	0	0	0	0	0	0	0	1257965185	
0.429992	64	0	0	13031	0	0	1	0	0	76914	3	0	0.455599	0.45214	0	0	0	0	0	0	0	0	0	0	0	0	441998772	
0.437124	65	0	0	13149	0	0	1	0	0	77476	3	0	0.447724	0.445781	0	0	0	0	0	0	0	0	0	0	0	0	537605326	
0.556751	66	0	0	13368	0	0	1	0	0	78444	4	0	0.448845	0.444713	0	0	0	0	0	0	0	0	0	0	0	0	1114184231	
0.570634	67	0	0	13518	0	0	1	0	0	79312	4	0	0.455242	0.447823	0	0	0	0	0	0	0	0	0	0	0	0	744178710	
0.578984	68	0	0	13620	0	0	1	0	0	79980	4	0	0.456386	0.448674	0	0	0	0	0	0	0	0	0	0	0	0	1969897084	
0.459509	69	0	0	13708	0	0	1	0	0	80474	3	0	0.448512	0.446541	0	0	0	0	0	0	0	0	0	0	0	0	669291969	
0.463164	70	0	0	13744	0	0	1	0	0	80694	3	0	0.451068	0.44741	0	0	0	0	0	0	0	0	0	0	0	0	2140944369	
